clueweb12-0000tw-00-00000,"{'france': 'http://en.wikipedia.org/wiki/France', 'tunis': 'http://en.wikipedia.org/wiki/Tunis', 'tunisia': 'http://en.wikipedia.org/wiki/Tunisia', 'cumulus': 'http://en.wikipedia.org/wiki/Cumulus_Media'}"
clueweb12-0000tw-00-00001,"{'tunis': 'http://en.wikipedia.org/wiki/Tunis', 'tunisia': 'http://en.wikipedia.org/wiki/Tunisia', 'cumulus': 'http://en.wikipedia.org/wiki/Cumulus_Media'}"
clueweb12-0000tw-00-00002,"{'tunis': 'http://en.wikipedia.org/wiki/Tunis', 'tunisia': 'http://en.wikipedia.org/wiki/Tunisia'}"
clueweb12-0000tw-00-00003,"{'tunis': 'http://en.wikipedia.org/wiki/Tunis', 'tunisia': 'http://en.wikipedia.org/wiki/Tunisia', 'cumulus': 'http://en.wikipedia.org/wiki/Cumulus_Media'}"
clueweb12-0000tw-00-00004,"{'tunis': 'http://en.wikipedia.org/wiki/Tunis', 'tunisia': 'http://en.wikipedia.org/wiki/Tunisia', 'cumulus': 'http://en.wikipedia.org/wiki/Cumulus_Media'}"
clueweb12-0000tw-00-00009,"{'walt disney world': 'http://en.wikipedia.org/wiki/Walt_Disney_World', 'disney': 'http://en.wikipedia.org/wiki/Walt_Disney_Animation_Studios'}"
clueweb12-0000tw-00-00018,{'berlin': 'http://en.wikipedia.org/wiki/Berlin'}
clueweb12-0000tw-00-00022,{'california': 'http://en.wikipedia.org/wiki/California'}
clueweb12-0000tw-00-00025,{'house': 'http://en.wikipedia.org/wiki/A_House'}
clueweb12-0000tw-00-00026,{'new zealand': 'http://en.wikipedia.org/wiki/New_Zealand'}
clueweb12-0000tw-00-00029,"{'austin': 'http://en.wikipedia.org/wiki/Austin,_Arkansas'}"
clueweb12-0000tw-00-00033,{'greece': 'http://en.wikipedia.org/wiki/Greece'}
clueweb12-0000tw-00-00034,{'europe': 'http://en.wikipedia.org/wiki/Europe_(1803_EIC_ship)'}
clueweb12-0000tw-00-00035,{'first solar': 'http://en.wikipedia.org/wiki/First_Solar'}
clueweb12-0000tw-00-00039,{'reuters': 'http://en.wikipedia.org/wiki/Reuters'}
clueweb12-0000tw-00-00043,{'western union': 'http://en.wikipedia.org/wiki/Western_Union'}
clueweb12-0000tw-00-00051,"{'costco': 'http://en.wikipedia.org/wiki/Costco', 'grocery gateway': 'http://en.wikipedia.org/wiki/Grocery_Gateway'}"
clueweb12-0000tw-00-00053,{'matt damon': 'http://en.wikipedia.org/wiki/Matt_Damon'}
clueweb12-0000tw-00-00054,"{'jakarta': 'http://en.wikipedia.org/wiki/Jakarta_metropolitan_area', 'greyson chance': 'http://en.wikipedia.org/wiki/Greyson_Chance', 'indonesia': 'http://en.wikipedia.org/wiki/Indonesia', 'asia': 'http://en.wikipedia.org/wiki/Asia,_Tennessee', 'oklahoma': 'http://en.wikipedia.org/wiki/Oklahoma', 'lady gaga': 'http://en.wikipedia.org/wiki/Lady_Gaga', 'los angeles': 'http://en.wikipedia.org/wiki/Los_Angeles', 'eleveneleven': 'http://en.wikipedia.org/wiki/Eleveneleven', 'interscope records': 'http://en.wikipedia.org/wiki/Interscope_Records', 'yahoo': 'http://en.wikipedia.org/wiki/Yahoo_(band)', 'los angeles times': 'http://en.wikipedia.org/wiki/Los_Angeles_Times_Syndicate', 'david archuleta': 'http://en.wikipedia.org/wiki/David_Archuleta', 'guy oseary': 'http://en.wikipedia.org/wiki/Guy_Oseary', 'cody simpson': 'http://en.wikipedia.org/wiki/Cody_Simpson', 'malaysia': 'http://en.wikipedia.org/wiki/Malaysia', 'singapore': 'http://en.wikipedia.org/wiki/Singapore', 'fox': 'http://en.wikipedia.org/wiki/Fox_(clothing)', 'christina aguilera': 'http://en.wikipedia.org/wiki/Christina_Aguilera', 'john lennon': 'http://en.wikipedia.org/wiki/John_Lennon', 'elton john': 'http://en.wikipedia.org/wiki/Elton_John', 'harry potter': 'http://en.wikipedia.org/wiki/Harry_Potter_(rugby_union)', 'surabaya': 'http://en.wikipedia.org/wiki/Surabaya'}"
clueweb12-0000tw-00-00056,"{'ron paul': 'http://en.wikipedia.org/wiki/Ron_Paul', 'south africa': 'http://en.wikipedia.org/wiki/South_Africa', 'tokyo': 'http://en.wikipedia.org/wiki/Tokyo'}"
clueweb12-0000tw-00-00057,"{'brian cashman': 'http://en.wikipedia.org/wiki/Brian_Cashman', 'brian jacob': 'http://en.wikipedia.org/wiki/Brian_Jacob', 'manhattan': 'http://en.wikipedia.org/wiki/Manhattan'}"
clueweb12-0000tw-00-00058,{'mother': 'http://en.wikipedia.org/wiki/Mother_(advertising_agency)'}
clueweb12-0000tw-00-00059,"{'brighton beach': 'http://en.wikipedia.org/wiki/Brighton_Beach', 'new england': 'http://en.wikipedia.org/wiki/New_England', 'staten island': 'http://en.wikipedia.org/wiki/Staten_Island', 'new york bay': 'http://en.wikipedia.org/wiki/New_York_Bay', 'brooklyn': 'http://en.wikipedia.org/wiki/Brooklyn'}"
clueweb12-0000tw-00-00060,"{'greg kelly': 'http://en.wikipedia.org/wiki/Greg_Kelly', 'fox': 'http://en.wikipedia.org/wiki/Fox_(clothing)', 'rosanna scotto': 'http://en.wikipedia.org/wiki/Rosanna_Scotto'}"
clueweb12-0000tw-00-00061,"{'three mile island': 'http://en.wikipedia.org/wiki/Three_Mile_Island_(Lake_Winnipesaukee)', 'new york city': 'http://en.wikipedia.org/wiki/New_York_City', 'japan': 'http://en.wikipedia.org/wiki/Japan', 'allison fisher': 'http://en.wikipedia.org/wiki/Allison_Fisher', 'public citizen': 'http://en.wikipedia.org/wiki/Public_Citizen'}"
clueweb12-0000tw-00-00062,"{'cathie black': 'http://en.wikipedia.org/wiki/Cathie_Black', 'brooklyn': 'http://en.wikipedia.org/wiki/Brooklyn', 'lucretia mott': 'http://en.wikipedia.org/wiki/Lucretia_Mott', 'staten island': 'http://en.wikipedia.org/wiki/Staten_Island', 'cornelius vanderbilt': 'http://en.wikipedia.org/wiki/Cornelius_Vanderbilt', 'betty shabazz': 'http://en.wikipedia.org/wiki/Betty_Shabazz'}"
clueweb12-0000tw-00-00063,"{'levi': 'http://en.wikipedia.org/wiki/Levi', 'jerusalem': 'http://en.wikipedia.org/wiki/Jerusalem,_Rhode_Island', 'rome': 'http://en.wikipedia.org/wiki/Rome', 'richard': 'http://en.wikipedia.org/wiki/Richard,_Count_of_Acerra', 'harry freedman': 'http://en.wikipedia.org/wiki/Harry_Freedman'}"
clueweb12-0000tw-00-00065,"{'andy straka': 'http://en.wikipedia.org/wiki/Andy_Straka', 'liz': 'http://en.wikipedia.org/wiki/Liz_(musician)', 'virginia': 'http://en.wikipedia.org/wiki/Virginia', 'john williams': 'http://en.wikipedia.org/wiki/John_Williams', 'midwest': 'http://en.wikipedia.org/wiki/Midwest,_Wyoming', 'india': 'http://en.wikipedia.org/wiki/India', 'alex': 'http://en.wikipedia.org/wiki/Elizabeth_Alex', 'rick riordan': 'http://en.wikipedia.org/wiki/Rick_Riordan', 'rebecca': 'http://en.wikipedia.org/wiki/Rebecca_(band)'}"
clueweb12-0000tw-00-00066,"{'andy straka': 'http://en.wikipedia.org/wiki/Andy_Straka', 'midwest': 'http://en.wikipedia.org/wiki/Midwest,_Wyoming', 'india': 'http://en.wikipedia.org/wiki/India', 'alex': 'http://en.wikipedia.org/wiki/Elizabeth_Alex', 'rick riordan': 'http://en.wikipedia.org/wiki/Rick_Riordan', 'rebecca': 'http://en.wikipedia.org/wiki/Rebecca_(band)'}"
clueweb12-0000tw-00-00067,"{'scott nicholson': 'http://en.wikipedia.org/wiki/Scott_Nicholson', 'south carolina': 'http://en.wikipedia.org/wiki/South_Carolina', 'adam': 'http://en.wikipedia.org/wiki/Adam'}"
clueweb12-0000tw-00-00070,"{'nintendo': 'http://en.wikipedia.org/wiki/Nintendo', 'the last guardian': 'http://en.wikipedia.org/wiki/The_Last_Guardian', 'frictional games': 'http://en.wikipedia.org/wiki/Frictional_Games', 'mass effect 3': 'http://en.wikipedia.org/wiki/Mass_Effect_3', 'psychonauts 2': 'http://en.wikipedia.org/wiki/Psychonauts_2', 'blizzard': 'http://en.wikipedia.org/wiki/The_Blizzards', 'valve': 'http://en.wikipedia.org/wiki/Valve_Corporation', 'sega': 'http://en.wikipedia.org/wiki/Sega', 'super meat boy': 'http://en.wikipedia.org/wiki/Super_Meat_Boy', 'china': 'http://en.wikipedia.org/wiki/China', 'shanda': 'http://en.wikipedia.org/wiki/Shanda', 'double fine': 'http://en.wikipedia.org/wiki/Double_Fine', 'the new york times': 'http://en.wikipedia.org/wiki/The_New_York_Times_Company', 'netflix': 'http://en.wikipedia.org/wiki/Netflix_Animation', 'rocksteady': 'http://en.wikipedia.org/wiki/Rocksteady_Studios', 'sefton hill': 'http://en.wikipedia.org/wiki/Sefton_Hill', 'hill': 'http://en.wikipedia.org/wiki/Hill_Harper', 'montreal': 'http://en.wikipedia.org/wiki/Montreal', 'team ico': 'http://en.wikipedia.org/wiki/Team_Ico', 'fumito ueda': 'http://en.wikipedia.org/wiki/Fumito_Ueda', 'sony': 'http://en.wikipedia.org/wiki/Sony', 'shuhei yoshida': 'http://en.wikipedia.org/wiki/Shuhei_Yoshida', 'juliet': 'http://en.wikipedia.org/wiki/Juliet_Cadzow', 'google maps': 'http://en.wikipedia.org/wiki/Google_Maps'}"
clueweb12-0000tw-00-00071,"{'nintendo': 'http://en.wikipedia.org/wiki/Nintendo', 'psychonauts 2': 'http://en.wikipedia.org/wiki/Psychonauts_2', 'the last guardian': 'http://en.wikipedia.org/wiki/The_Last_Guardian', 'blizzard': 'http://en.wikipedia.org/wiki/The_Blizzards', 'valve': 'http://en.wikipedia.org/wiki/Valve_Corporation', 'sega': 'http://en.wikipedia.org/wiki/Sega', 'super meat boy': 'http://en.wikipedia.org/wiki/Super_Meat_Boy', 'china': 'http://en.wikipedia.org/wiki/China', 'shanda': 'http://en.wikipedia.org/wiki/Shanda', 'double fine': 'http://en.wikipedia.org/wiki/Double_Fine', 'pikimal': 'http://en.wikipedia.org/wiki/Pikimal', 'microsoft': 'http://en.wikipedia.org/wiki/Microsoft'}"
