ENTITY: clueweb12-0000tw-00-00000	2008	http://dbpedia.org/resource/2008
ENTITY: clueweb12-0000tw-00-00000	france	http://dbpedia.org/resource/France
ENTITY: clueweb12-0000tw-00-00000	France	http://dbpedia.org/resource/France
ENTITY: clueweb12-0000tw-00-00000	Tunisia	http://dbpedia.org/resource/Tunisia
ENTITY: clueweb12-0000tw-00-00000	Pool	http://dbpedia.org/resource/Swimming_pool
ENTITY: clueweb12-0000tw-00-00000	Cumulus	http://dbpedia.org/resource/Cumulus_Media
ENTITY: clueweb12-0000tw-00-00000	Flash Player 9	http://dbpedia.org/resource/Adobe_Flash_Player
ENTITY: clueweb12-0000tw-00-00000	Tunis	http://dbpedia.org/resource/Tunis
ENTITY: clueweb12-0000tw-00-00000	WordPress	http://dbpedia.org/resource/WordPress
ENTITY: clueweb12-0000tw-00-00000	WP	http://dbpedia.org/resource/The_Washington_Post
ENTITY: clueweb12-0000tw-00-00001	2008	http://dbpedia.org/resource/2008
ENTITY: clueweb12-0000tw-00-00001	Tunisia	http://dbpedia.org/resource/Tunisia
ENTITY: clueweb12-0000tw-00-00001	Cumulus	http://dbpedia.org/resource/Cumulus_Media
ENTITY: clueweb12-0000tw-00-00001	Flash Player 9	http://dbpedia.org/resource/Adobe_Flash_Player
ENTITY: clueweb12-0000tw-00-00001	Tunis	http://dbpedia.org/resource/Tunis
ENTITY: clueweb12-0000tw-00-00001	WP	http://dbpedia.org/resource/The_Washington_Post
ENTITY: clueweb12-0000tw-00-00002	2008	http://dbpedia.org/resource/2008
ENTITY: clueweb12-0000tw-00-00002	Tunisia	http://dbpedia.org/resource/Tunisia
ENTITY: clueweb12-0000tw-00-00002	Flash Player 9	http://dbpedia.org/resource/Adobe_Flash_Player
ENTITY: clueweb12-0000tw-00-00002	Tunis	http://dbpedia.org/resource/Tunis
ENTITY: clueweb12-0000tw-00-00003	2008	http://dbpedia.org/resource/2008
ENTITY: clueweb12-0000tw-00-00003	Tunisia	http://dbpedia.org/resource/Tunisia
ENTITY: clueweb12-0000tw-00-00003	Cumulus	http://dbpedia.org/resource/Cumulus_Media
ENTITY: clueweb12-0000tw-00-00003	Flash Player 9	http://dbpedia.org/resource/Adobe_Flash_Player
ENTITY: clueweb12-0000tw-00-00003	Tunis	http://dbpedia.org/resource/Tunis
ENTITY: clueweb12-0000tw-00-00003	WP	http://dbpedia.org/resource/The_Washington_Post
ENTITY: clueweb12-0000tw-00-00004	2008	http://dbpedia.org/resource/2008
ENTITY: clueweb12-0000tw-00-00004	Tunisia	http://dbpedia.org/resource/Tunisia
ENTITY: clueweb12-0000tw-00-00004	Cumulus	http://dbpedia.org/resource/Cumulus_Media
ENTITY: clueweb12-0000tw-00-00004	Flash Player 9	http://dbpedia.org/resource/Adobe_Flash_Player
ENTITY: clueweb12-0000tw-00-00004	Tunis	http://dbpedia.org/resource/Tunis
ENTITY: clueweb12-0000tw-00-00004	WP	http://dbpedia.org/resource/The_Washington_Post
ENTITY: clueweb12-0000tw-00-00007	Michelle	http://dbpedia.org/resource/Michel'le
ENTITY: clueweb12-0000tw-00-00007	Collette	http://dbpedia.org/resource/Toni_Collette
